stem,sensor,sensor_family,tier,category,category_label,anomaly_type,bands,height,width,anomaly_px,anomaly_pct,cube_url,gt_url,preview_url
ang20170821t183707_44,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_45,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_46,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_47,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_48,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_49,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_5,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_50,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_51,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_52,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_53,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_54,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_55,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_56,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_57,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_58,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_59,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_6,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_60,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_61,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_62,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_63,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_64,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_65,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_66,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_67,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_68,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_69,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_7,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_70,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_71,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_72,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_73,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_74,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_75,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_76,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_77,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_78,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_79,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_8,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_80,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_81,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_82,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_83,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_84,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_85,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_86,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_87,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_88,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_89,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_9,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_90,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_1,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_10,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_11,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_12,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_13,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_14,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_15,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_16,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_17,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_18,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_19,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_2,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_20,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_3,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_4,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_5,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_6,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_7,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_8,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t195229_9,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_1,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_10,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_11,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_12,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_13,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_2,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_3,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_4,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_5,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_6,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_7,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_8,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170825t173426_9,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_1,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_10,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_11,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_12,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_13,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_14,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_15,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_16,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_17,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_18,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_19,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_2,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_20,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_21,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_22,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_23,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_24,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_25,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_26,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_27,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_28,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_29,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_3,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_30,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_4,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_5,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_6,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_7,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_8,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170908t225309_9,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_1,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_10,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_11,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_12,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_13,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_14,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_15,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_16,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_17,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_18,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_19,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_2,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_20,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_21,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_22,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_3,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_4,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_5,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_6,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_7,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_8,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20171012t194435_9,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_1,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_10,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_11,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_12,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_13,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_14,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_2,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_3,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_4,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_5,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_6,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_7,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_8,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20180227t082814_9,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_1,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_10,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_11,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_12,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_13,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_14,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_15,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_16,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_17,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_18,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_19,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_2,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_20,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_21,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_3,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_4,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_5,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_6,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_7,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_8,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20191004t185054_9,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
